time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Daily_Open,Daily_Close,MA №1,MA №2,MA №3,MA №4
2024-08-02T01:36:00-04:00,2187.2,2187.5,2187,2187.4,2191.309293,2196.308766,2186.30982,2195.9,2198.1,2188.258194,NaN,NaN,2188.340952
2024-08-02T01:37:00-04:00,2187,2187,2186.8,2186.8,2191.305248,2196.304241,2186.306255,2195.9,2198.1,2187.966555,NaN,NaN,2188.315238
2024-08-02T01:38:00-04:00,2186.4,2186.4,2184.5,2185.4,2191.235133,2196.244955,2186.22531,2195.9,2198.1,2187.453244,NaN,NaN,2188.274286
2024-08-02T01:39:00-04:00,2184.9,2184.9,2183.5,2184,2191.208515,2196.227736,2186.189293,2195.9,2198.1,2186.762595,NaN,NaN,2188.226667
2024-08-02T01:40:00-04:00,2184,2185.2,2184,2184.3,2191.151608,2196.187221,2186.115994,2195.9,2198.1,2186.270076,NaN,NaN,2188.175238
2024-08-02T01:41:00-04:00,2184.6,2184.9,2184.1,2184.4,2191.126857,2196.169511,2186.084202,2195.9,2198.1,2185.896061,NaN,NaN,2188.127619
2024-08-02T01:42:00-04:00,2184.7,2184.7,2182.8,2183.1,2191.080084,2196.14217,2186.017998,2195.9,2198.1,2185.336849,NaN,NaN,2188.067619
2024-08-02T01:43:00-04:00,2183.1,2183.2,2182.6,2182.8,2191.05846,2196.131367,2185.985552,2195.9,2198.1,2184.829479,NaN,NaN,2188
2024-08-02T01:44:00-04:00,2182.8,2182.9,2181.7,2181.7,2191.005174,2196.109666,2185.900681,2195.9,2198.1,2184.203583,NaN,NaN,2187.927619
2024-08-02T01:45:00-04:00,2182.2,2183.5,2181.9,2182.5,2190.92039,2196.067679,2185.773102,2195.9,2198.1,2183.862867,NaN,NaN,2187.858095
2024-08-02T01:46:00-04:00,2182.6,2183.5,2182.6,2183.3,2190.908793,2196.061005,2185.75658,2195.9,2198.1,2183.750293,NaN,NaN,2187.801905
2024-08-02T01:47:00-04:00,2183.5,2184.5,2183.2,2184.2,2190.897926,2196.053414,2185.742438,2195.9,2198.1,2183.840235,NaN,NaN,2187.748571
2024-08-02T01:48:00-04:00,2184.3,2184.4,2182.8,2183.5,2190.846081,2196.019909,2185.672252,2195.9,2198.1,2183.772188,NaN,NaN,2187.686667
2024-08-02T01:49:00-04:00,2183.5,2183.8,2182.1,2182.3,2190.718863,2195.949985,2185.487741,2195.9,2198.1,2183.47775,NaN,NaN,2187.605714
2024-08-02T01:50:00-04:00,2182.2,2182.5,2179.6,2179.7,2190.498526,2195.879027,2185.118025,2195.9,2198.1,2182.7222,NaN,NaN,2187.490476
