time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Daily_Open,Daily_Close,MA №1,MA №2,MA №3,MA №4
2024-07-22T09:55:00-04:00,2204.3,2204.3,2193.6,2194,2208.571213,2215.210299,2201.932127,2207,2202.3,2200.5157,NaN,NaN,2211.774286
2024-07-22T10:00:00-04:00,2194.1,2195.4,2190.4,2190.5,2207.464336,2214.979976,2199.948696,2207,2202.3,2195.514808,NaN,NaN,2210.749524
2024-07-22T10:05:00-04:00,2190.6,2193.8,2188.7,2190.5,2206.458612,2214.775412,2198.141813,2207,2202.3,2191.95138,NaN,NaN,2209.620952
2024-07-22T10:10:00-04:00,2190.6,2197.7,2190.5,2197.5,2205.857714,2214.379738,2197.33569,2207,2202.3,2194.3153,NaN,NaN,2208.689524
2024-07-22T10:15:00-04:00,2197.5,2198.6,2193,2196.4,2205.484731,2214.069085,2196.900378,2207,2202.3,2195.14895,NaN,NaN,2207.781905
2024-07-22T10:20:00-04:00,2196.4,2201.8,2196.2,2201.3,2205.335527,2213.882421,2196.788633,2207,2202.3,2198.195528,NaN,NaN,2207.108571
2024-07-22T10:25:00-04:00,2201.3,2202.2,2197.5,2199.7,2205.249746,2213.750469,2196.749023,2207,2202.3,2199.369575,NaN,NaN,2206.534286
2024-07-22T10:30:00-04:00,2199.9,2201.2,2197.1,2200.8,2205.142653,2213.605336,2196.679971,2207,2202.3,2199.554574,NaN,NaN,2205.96
2024-07-22T10:35:00-04:00,2200.8,2203.9,2199.9,2202.9,2205.094779,2213.502809,2196.686748,2207,2202.3,2201.326971,NaN,NaN,2205.549524
2024-07-22T10:40:00-04:00,2203.1,2208.8,2203.1,2208.6,2205.124954,2213.419484,2196.830425,2207,2202.3,2204.98759,NaN,NaN,2205.393333
2024-07-22T10:45:00-04:00,2208.5,2208.6,2202.3,2204.3,2205.111686,2213.287224,2196.936148,2207,2202.3,2204.372733,NaN,NaN,2205.090476
2024-07-22T10:50:00-04:00,2204.3,2205.2,2201.9,2203.9,2205.089346,2213.2109,2196.967792,2207,2202.3,2203.836409,NaN,NaN,2204.785714
2024-07-22T10:55:00-04:00,2203.8,2213.4,2203.4,2213.1,2205.289874,2213.301343,2197.278404,2207,2202.3,2208.140283,NaN,NaN,2204.564762
